category,Project_Nr,Link,updates,updates_downloaded,save_path
technology,netaqua,"https://www.kickstarter.com/projects/netaqua/netaqua-web-enabled-irrigation-controller?ref=discovery_category_popular
",27,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
video,fiercefilmsprod,https://www.kickstarter.com/projects/fiercefilmsprod/the-interns-part-one?ref=discovery_category_popular,5,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
technology,ginkosynthese,"https://www.kickstarter.com/projects/ginkosynthese/sampleslicer?ref=discovery_category_popular
",4,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
video,rarebrain,"https://www.kickstarter.com/projects/rarebrain/lances-brewery-tour-a-beer-genius-with-autism-and?ref=discovery_category_popular
",22,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
video,2141340498_0,"https://www.kickstarter.com/projects/2141340498/lekce-the-lesson?ref=discovery_category_popular
",4,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
design,granbyworkshop,"https://www.kickstarter.com/projects/granbyworkshop/splatware-unique-ceramic-tableware?ref=discovery_category_popular
",12,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/design/Updates
design,1164873408,"https://www.kickstarter.com/projects/1164873408/the-most-sustainable-watch-ever-made?ref=discovery_category_popular
",21,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/design/Updates
technology,559733758,"https://www.kickstarter.com/projects/559733758/kibo-young-kids-programming-robots-with-wooden-blo?ref=discovery_category_popular
",12,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
video,2025214820,"https://www.kickstarter.com/projects/140462027/il-piano?ref=discovery_category_popular
",1,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
design,323145699,"https://www.kickstarter.com/projects/1296062383/micro-stove?ref=discovery_category_popular
",3,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/design/Updates
video,lawriebrewster,"https://www.kickstarter.com/projects/lawriebrewster/for-we-are-many-feature-lovecraft-gothic-horror-stretch?ref=discovery_category_popular
",2,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
technology,1092341030_6,"https://www.kickstarter.com/projects/1092341030/m-light-7-a-small-adjustable-motion-sensor-night-light?ref=discovery_category_popular
",3,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
design,1078820986,"https://www.kickstarter.com/projects/piscator/the-piscator-fishing-rod-and-beer-holder?ref=discovery_category_popular
",2,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/design/Updates
design,816768636,"https://www.kickstarter.com/projects/bensalem/the-pet-cab-a-unique-hands-free-6-way-pet-carrier?ref=discovery_category_popular
",2,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/design/Updates
technology,1234140169,"https://www.kickstarter.com/projects/1234140169/the-dark-aura-modulated-reverb-guitar-pedal-by-hau?ref=discovery_category_popular
",22,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
design,1803774034,"https://www.kickstarter.com/projects/1803774034/python-plunger?ref=discovery_category_popular
",1,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/design/Updates
design,712737558,"https://www.kickstarter.com/projects/orangedoor/reink-a-personalized-notebook?ref=discovery_category_popular
",3,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/design/Updates
video,1794721128,https://www.kickstarter.com/projects/1794721128/georgian-folk-song-project-a-loose-documentary?ref=discovery_category_popular,2,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
video,jonaspariente_1,"https://www.kickstarter.com/projects/jonaspariente/grandmas-project-season-2?ref=discovery_category_popular
",4,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
technology,1791023131,"https://www.kickstarter.com/projects/1617181555/wawwe-we-are-what-we-eat?ref=discovery_category_popular
",14,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
design,nzoactive,"https://www.kickstarter.com/projects/nzoactive/nzo-dusters-the-only-pants-you-will-ever-need?ref=discovery_category_popular
",25,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/design/Updates
technology,thehorizon,"https://www.kickstarter.com/projects/thehorizon/super-cable-a-better-charging-cable-for-iphone?ref=discovery_category_popular
",5,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
video,1026929560,"https://www.kickstarter.com/projects/1854708768/microlending-film-a-documentary-about-enterprising?ref=discovery_category_popular
",9,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
video,2131878125,"https://www.kickstarter.com/projects/910161475/save-roanoke-cinemas?ref=discovery_category_popular
",3,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
technology,356508757,"https://www.kickstarter.com/projects/1705341365/recsmart-the-first-connected-and-social-dashcam?ref=discovery_category_popular
",5,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
technology,1509911622,"https://www.kickstarter.com/projects/pylin/canexio-extend-and-expand-your-projects-reach?ref=discovery_category_popular
",2,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
video,134761556,"https://www.kickstarter.com/projects/jackm/4-of-a-kind-a-crime-thriller-set-in-chicago?ref=discovery_category_popular
",51,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
video,1963211884,"https://www.kickstarter.com/projects/1963211884/where-the-water-meets-the-sand?ref=discovery_category_popular
",15,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
technology,1368422481,"https://www.kickstarter.com/projects/406897786/hear-your-news?ref=discovery_category_popular
",1,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
technology,matricon,"https://www.kickstarter.com/projects/matricon/enclave?ref=discovery_category_popular
",14,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/technology/Updates
video,2087663825,"https://www.kickstarter.com/projects/2087663825/the-search-for-amazing-a-three-part-series?ref=discovery_category_popular
",6,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
video,1519165855,"https://www.kickstarter.com/projects/1519165855/the-yellow-feather-a-horror-fantasy-film?ref=discovery_category_popular
",23,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
video,883158004,"https://www.kickstarter.com/projects/729768036/zeenie-dollz-animated-webisode?ref=discovery_category_popular
",2,False,/Users/philippsach/HiDrive/public/Kickstarter_Data/video/Updates
